Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55869981,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""""","=""9781782276203""",3,3.78,Pushkin Press,Paperback,221,2020,2017,2023/04/27,2022/09/05,,,read,,,,1,0
53052855,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1982147660""","=""9781982147662""",5,4.41,Simon & Schuster,Paperback,385,2020,2017,2023/06/08,2022/09/05,,,read,,,,1,0
60567915,Cat Lady,Dawn O'Porter,"O'Porter, Dawn",,"=""0008385394""","=""9780008385392""",0,3.89,HarperCollins,Hardcover,400,2022,2022,,2023/06/06,to-read,to-read (#23),to-read,,,,0,0
36509779,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0349142920""","=""9780349142920""",3,4.08,Abacus,Paperback,388,2018,2017,2023/05/17,2022/09/13,books-from-alex,books-from-alex (#5),read,,,,1,0
60153822,High Pressure,Sam  Blake,"Blake, Sam",Aoife McMahon,"=""1038603420""","=""9781038603425""",0,3.67,Bolinda Audio,Audio CD,,2022,,,2023/01/22,"dnf, to-read","dnf (#1), to-read (#22)",to-read,,,,0,0
67353676,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""000842179X""","=""9780008421793""",5,3.73,"4th Estate, London",Paperback,370,2023,2022,2023/05/10,2023/04/02,books-from-alex,books-from-alex (#13),read,,,,1,0
59203767,I’m Sorry You Feel That Way,Rebecca Wait,"Wait, Rebecca",,"=""152942044X""","=""9781529420449""",0,4.02,Quercus,Hardcover,400,2022,2022,,2023/04/26,to-read,to-read (#21),to-read,,,,0,0
52692538,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0241428297""","=""9780241428290""",5,4.70,VIKIN,Paperback,365,2020,2019,2023/04/18,2023/01/06,books-from-alex,books-from-alex (#11),read,,,,1,0
61437102,"The Chief Shepherdess: Lessons in Life, Death and Farming",Zoe Colville,"Colville, Zoe",,"=""1787635740""","=""9781787635746""",0,4.34,Bantam Press,Hardcover,320,2023,,,2023/04/05,to-read,to-read (#20),to-read,,,,0,0
54925835,Not the Type,Camilla Thurlow,"Thurlow, Camilla",,"=""1789463459""","=""9781789463453""",0,3.78,Metro Publishing,Hardcover,245,2020,2020,,2023/04/04,to-read,to-read (#19),to-read,,,,0,0
52514822,People Person,Candice Carty-Williams,"Carty-Williams, Candice",,"=""1409180107""","=""9781409180104""",4,3.70,Trapeze,Hardcover,320,2022,2022,2023/03/30,2022/09/13,books-from-alex,books-from-alex (#3),read,,,,1,0
17327053,The Shuddering,Ania Ahlborn,"Ahlborn, Ania",,"=""1611099676""","=""9781611099676""",0,3.68,47North,Paperback,283,2013,2013,,2023/01/25,to-read,to-read (#18),to-read,,,,0,0
60776142,Off the Deep End,Lucinda Berry,"Berry, Lucinda",,"=""166250621X""","=""9781662506215""",0,3.48,Thomas & Mercer,Kindle Edition,268,2023,2023,,2023/01/25,to-read,to-read (#17),to-read,,,,0,0
43982433,Someone We Know,Shari Lapena,"Lapena, Shari",,"=""0525557652""","=""9780525557654""",0,3.92,Pamela Dorman Books,Hardcover,292,2019,2019,,2023/01/25,to-read,to-read (#16),to-read,,,,0,0
52652923,The Last Flight,Julie   Clark,"Clark, Julie",,"=""1728215722""","=""9781728215723""",0,4.10,Sourcebooks Landmark,Hardcover,320,2020,2020,,2023/01/25,to-read,to-read (#15),to-read,,,,0,0
61381555,Run on Red,Noelle W. Ihli,"Ihli, Noelle W.",,"=""""","=""""",0,3.73,"Dynamite Books, LLC",Kindle Edition,291,2022,2022,,2023/01/25,to-read,to-read (#14),to-read,,,,0,0
59519684,Mean Baby: A Memoir of Growing Up,Selma Blair,"Blair, Selma",,"=""0525659501""","=""9780525659501""",0,3.92,Knopf,Kindle Edition,299,2022,2022,,2023/01/14,to-read,to-read (#13),to-read,,,,0,0
60596302,Careering,Daisy Buchanan,"Buchanan, Daisy","Celine Buckens, Jo Hartley","=""""","=""9781405546607""",3,3.35,"Little, Brown Book Group",Audiobook,,2022,2022,2023/01/13,2023/01/08,,,read,,,,1,0
35997453,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0241322715""","=""9780241322710""",4,3.99,Penguin Books,Hardcover,330,2018,2018,2023/01/13,2022/09/13,books-from-alex,books-from-alex (#2),read,,,,1,0
57449173,Adults,Emma Jane Unsworth,"Unsworth, Emma Jane","Jessica Raine, Rowan Routh","=""""","=""""",3,3.28,BBC Radio 4,Audiobook,,,2020,2023/01/07,2022/12/30,,,read,,,,1,0
57692977,Leave The World Behind,Rumaan Alam,"Alam, Rumaan",,"=""1526633086""","=""9781526633088""",4,3.16,Bloomsbury Publishing,Hardcover,256,2020,2020,2023/01/06,2022/12/30,books-from-alex,books-from-alex (#10),read,,,,1,0
60177373,Fairy Tale,Stephen        King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.10,Scribner,Hardcover,599,2022,2022,,2023/01/04,to-read,to-read (#12),to-read,,,,0,0
42201100,Three Women,Lisa Taddeo,"Taddeo, Lisa",,"=""1451642296""","=""9781451642292""",0,3.72,Avid Reader Press ,Hardcover,306,2019,2019,,2023/01/03,to-read,to-read (#11),to-read,,,,0,0
60908438,How to Kill Your Family,Bella Mackie,"Mackie, Bella",Ell Potter,"=""""","=""""",2,3.53,,Audiobook,,2021,2021,2022/12/28,2022/12/20,,,read,,,,1,0
30078651,The Sound of Gravel: A Memoir,Ruth Wariner,"Wariner, Ruth",,"=""1250077702""","=""9781250077707""",5,4.29,Flatiron Books,Paperback,368,2017,2016,2022/12/28,2022/12/11,books-from-alex,books-from-alex (#9),read,,,,1,0
